prime,target,condition,primetype,corrAns
weaken,WEAK,transparent,related,J
dearly,DEAR,transparent,related,J
drying,DRY,transparent,related,J
foolish,FOOL,transparent,related,J
sadness,SAD,transparent,related,J
madness,MAD,transparent,related,J
foggy,FOG,transparent,related,J
dreadful,DREAD,transparent,related,J
joyful,JOY,transparent,related,J
tagging,TAG,transparent,related,J
lawful,LAW,transparent,related,J
aiming,AIM,transparent,related,J
erupted,DIP,transparent,unrelated,J
avoiding,CLUE,transparent,unrelated,J
hunted,SPY,transparent,unrelated,J
lodging,PAD,transparent,unrelated,J
courting,BONE,transparent,unrelated,J
rotating,HARM,transparent,unrelated,J
rises,ODD,transparent,unrelated,J
shower,CRY,transparent,unrelated,J
touchy,ACID,transparent,unrelated,J
jumper,SKI,transparent,unrelated,J
amended,RANK,transparent,unrelated,J
weeded,EGO,transparent,unrelated,J
promoter,TRIM,transparent,unrelated,J
patted,FAT,transparent,unrelated,J
sweating,FLAW,transparent,unrelated,J
poorest,SHARP,transparent,unrelated,J
gutter,GUT,opaque,related,J
petty,PET,opaque,related,J
department,DEPART,opaque,related,J
corny,CORN,opaque,related,J
treaty,TREAT,opaque,related,J
tractable,TRACT,opaque,related,J
topic,TOP,opaque,related,J
irony,IRON,opaque,related,J
muggy,MUG,opaque,related,J
butter,BUTT,opaque,related,J
belly,BELL,opaque,related,J
ladder,LAD,opaque,related,J
wander,WAND,opaque,related,J
luster,LUST,opaque,related,J
pigment,PIG,opaque,related,J
earnest,EARN,opaque,related,J
ranges,ARCH,opaque,unrelated,J
openly,TEND,opaque,unrelated,J
tasted,KIT,opaque,unrelated,J
masses,HAM,opaque,unrelated,J
saying,MAT,opaque,unrelated,J
eluded,RUST,opaque,unrelated,J
softer,BRAND,opaque,unrelated,J
subtly,CHOP,opaque,unrelated,J
vividly,FIG,opaque,unrelated,J
races,INN,opaque,unrelated,J
moving,FORM,opaque,unrelated,J
bosses,POND,opaque,unrelated,J
finer,OPT,opaque,unrelated,J
creeping,GULL,opaque,unrelated,J
cheaply,FLICK,opaque,unrelated,J
visited,WIT,opaque,unrelated,J
spot,SPOT,identity,related,J
shirt,SHIRT,identity,related,J
fail,FAIL,identity,related,J
push,PUSH,identity,related,J
fuss,FUSS,identity,related,J
elm,ELM,identity,related,J
hat,HAT,identity,related,J
ace,ACE,identity,related,J
query,QUERY,identity,related,J
cow,COW,identity,related,J
ant,ANT,identity,related,J
joke,JOKE,identity,related,J
dust,DUST,identity,related,J
lap,LAP,identity,related,J
rug,RUG,identity,related,J
eye,EYE,identity,related,J
rent,SPIN,identity,unrelated,J
suit,LOCK,identity,unrelated,J
bog,HIP,identity,unrelated,J
plea,KNOT,identity,unrelated,J
mount,ANGEL,identity,unrelated,J
ill,JAM,identity,unrelated,J
tank,FUND,identity,unrelated,J
eel,TUB,identity,unrelated,J
row,TIP,identity,unrelated,J
oil,BAY,identity,unrelated,J
sit,TOY,identity,unrelated,J
rum,WIG,identity,unrelated,J
fan,EAT,identity,unrelated,J
guy,PUB,identity,unrelated,J
gap,RAT,identity,unrelated,J
hay,POT,identity,unrelated,J
basin,BASIL,orthographic,related,J
cheer,CHEEK,orthographic,related,J
creep,CREEK,orthographic,related,J
grass,GRASP,orthographic,related,J
patron,PATROL,orthographic,related,J
piston,PISTOL,orthographic,related,J
quart,QUARK,orthographic,related,J
relay,RELAX,orthographic,related,J
sheep,SHEER,orthographic,related,J
slant,SLANG,orthographic,related,J
spoon,SPOOL,orthographic,related,J
squad,SQUAT,orthographic,related,J
steer,STEEP,orthographic,related,J
straw,STRAP,orthographic,related,J
sweat,SWEAR,orthographic,related,J
arcane,ARCADE,orthographic,related,J
karate,REFUGE,orthographic,unrelated,J
orchid,STRIPE,orthographic,unrelated,J
diesel,TRIBUNE,orthographic,unrelated,J
thigh,BLEND,orthographic,unrelated,J
forge,BRINE,orthographic,unrelated,J
groin,CRESS,orthographic,unrelated,J
alter,CURSE,orthographic,unrelated,J
beige,DAIRY,orthographic,unrelated,J
slice,FLUKE,orthographic,unrelated,J
rival,GLOBE,orthographic,unrelated,J
radar,GRAPE,orthographic,unrelated,J
ranch,GUILT,orthographic,unrelated,J
swell,MERCY,orthographic,unrelated,J
notch,PROBE,orthographic,unrelated,J
flock,PURGE,orthographic,unrelated,J
bunny,SHAVE,orthographic,unrelated,J
basket,WEAVE,semantic,related,J
carrot,RABBIT,semantic,related,J
crook,THIEF,semantic,related,J
lime,LEMON,semantic,related,J
neutron,ATOM,semantic,related,J
mute,DEAF,semantic,related,J
robe,BATH,semantic,related,J
satin,SILK,semantic,related,J
sock,SHOE,semantic,related,J
toad,FROG,semantic,related,J
roar,LION,semantic,related,J
roast,BEEF,semantic,related,J
puke,VOMIT,semantic,related,J
viola,VIOLIN,semantic,related,J
kidney,BEAN,semantic,related,J
circus,CLOWN,semantic,related,J
choose,MONKEY,semantic,unrelated,J
lab,WOUND,semantic,unrelated,J
butch,CLIFF,semantic,unrelated,J
grief,POUND,semantic,unrelated,J
death,CABIN,semantic,unrelated,J
scroll,MALL,semantic,unrelated,J
tundra,RHYME,semantic,unrelated,J
yarn,STIFF,semantic,unrelated,J
gavel,SPAGHETTI,semantic,unrelated,J
cousin,REPTILE,semantic,unrelated,J
frill,VERB,semantic,unrelated,J
grace,FOLD,semantic,unrelated,J
follow,LEND,semantic,unrelated,J
moat,SNAKE,semantic,unrelated,J
bugle,TORNADO,semantic,unrelated,J
media,HOSE,semantic,unrelated,J
leaps,SIR,ww_fillers,unrelated,J
phony,HERB,ww_fillers,unrelated,J
sands,RAY,ww_fillers,unrelated,J
frogs,WORM,ww_fillers,unrelated,J
marker,FEE,ww_fillers,unrelated,J
noses,FOND,ww_fillers,unrelated,J
floods,POD,ww_fillers,unrelated,J
fences,TIDE,ww_fillers,unrelated,J
echoes,PIE,ww_fillers,unrelated,J
cooled,LEAN,ww_fillers,unrelated,J
skirts,HUG,ww_fillers,unrelated,J
fluffy,NAIL,ww_fillers,unrelated,J
ounces,SHY,ww_fillers,unrelated,J
paints,DULL,ww_fillers,unrelated,J
danced,GEM,ww_fillers,unrelated,J
lacked,CLAY,ww_fillers,unrelated,J
clicks,CAB,ww_fillers,unrelated,J
hopping,FLESH,ww_fillers,unrelated,J
shaving,STEAL,ww_fillers,unrelated,J
carrots,KID,ww_fillers,unrelated,J
broadly,ASH,ww_fillers,unrelated,J
tissues,PAY,ww_fillers,unrelated,J
wrongly,OAK,ww_fillers,unrelated,J
bananas,WEB,ww_fillers,unrelated,J
hopeful,BOW,ww_fillers,unrelated,J
hardness,DIG,ww_fillers,unrelated,J
indicted,POUR,ww_fillers,unrelated,J
boxer,EAR,ww_fillers,unrelated,J
chatting,CHESS,ww_fillers,unrelated,J
booking,TIN,ww_fillers,unrelated,J
stunned,JET,ww_fillers,unrelated,J
drowned,RAW,ww_fillers,unrelated,J
obesity,WAB,nw_fillers,unrelated,F
pompous,CAG,nw_fillers,unrelated,F
forging,KAM,nw_fillers,unrelated,F
melodic,VAR,nw_fillers,unrelated,F
refunds,MAB,nw_fillers,unrelated,F
pledged,PAG,nw_fillers,unrelated,F
endowed,HAN,nw_fillers,unrelated,F
statues,VAP,nw_fillers,unrelated,F
brushes,MAZ,nw_fillers,unrelated,F
pithces,NAT,nw_fillers,unrelated,F
collars,MUP,nw_fillers,unrelated,F
regimes,MOG,nw_fillers,unrelated,F
cunning,FUD,nw_fillers,unrelated,F
robbing,NUG,nw_fillers,unrelated,F
choking,PUM,nw_fillers,unrelated,F
squared,NAL,nw_fillers,unrelated,F
revoked,NIG,nw_fillers,unrelated,F
modeled,PUE,nw_fillers,unrelated,F
flashed,CIG,nw_fillers,unrelated,F
plunged,PON,nw_fillers,unrelated,F
trends,CIP,nw_fillers,unrelated,F
owns,BEIL,nw_fillers,unrelated,F
caring,SAIT,nw_fillers,unrelated,F
allies,ZAKE,nw_fillers,unrelated,F
drinks,WALD,nw_fillers,unrelated,F
atomic,LALE,nw_fillers,unrelated,F
holder,BASP,nw_fillers,unrelated,F
lenses,BALP,nw_fillers,unrelated,F
grants,ZALL,nw_fillers,unrelated,F
lifted,GALM,nw_fillers,unrelated,F
shaped,BANT,nw_fillers,unrelated,F
plates,BAZE,nw_fillers,unrelated,F
bands,BANF,nw_fillers,unrelated,F
mixing,PANK,nw_fillers,unrelated,F
novels,ZASH,nw_fillers,unrelated,F
basics,DARB,nw_fillers,unrelated,F
deadly,MARD,nw_fillers,unrelated,F
steady,BAGE,nw_fillers,unrelated,F
hotels,JARK,nw_fillers,unrelated,F
kindly,PARN,nw_fillers,unrelated,F
rental,SEEF,nw_fillers,unrelated,F
breeds,ADASH,nw_fillers,unrelated,F
guards,ABAPE,nw_fillers,unrelated,F
amazed,ABBOY,nw_fillers,unrelated,F
lover,ABBIT,nw_fillers,unrelated,F
agrees,ABHAR,nw_fillers,unrelated,F
stairs,BURGE,nw_fillers,unrelated,F
thighs,HARON,nw_fillers,unrelated,F
turner,BAFED,nw_fillers,unrelated,F
raises,PASIL,nw_fillers,unrelated,F
rider,TASIN,nw_fillers,unrelated,F
robots,NASIS,nw_fillers,unrelated,F
argues,FASTE,nw_fillers,unrelated,F
hiring,BETCH,nw_fillers,unrelated,F
stamps,TATHE,nw_fillers,unrelated,F
exotic,KATON,nw_fillers,unrelated,F
diving,TAWDY,nw_fillers,unrelated,F
meters,DAYED,nw_fillers,unrelated,F
trains,KEACH,nw_fillers,unrelated,F
deaths,BEALY,nw_fillers,unrelated,F
losses,BEALM,nw_fillers,unrelated,F
cycles,PEAGUE,nw_fillers,unrelated,F
dozens,CEAKED,nw_fillers,unrelated,F
guests,HEANED,nw_fillers,unrelated,F
newest,NEAPED,nw_fillers,unrelated,F
partly,LEARTS,nw_fillers,unrelated,F
worthy,HEASED,nw_fillers,unrelated,F
wells,YAR,nw_fillers,unrelated,F
pipes,TAI,nw_fillers,unrelated,F
tours,TAV,nw_fillers,unrelated,F
gifts,TEI,nw_fillers,unrelated,F
sized,BERM,nw_fillers,unrelated,F
tuned,MEE,nw_fillers,unrelated,F
stays,TEZ,nw_fillers,unrelated,F
clips,HETS,nw_fillers,unrelated,F
mines,TRE,nw_fillers,unrelated,F
kicks,GLY,nw_fillers,unrelated,F
worms,PIC,nw_fillers,unrelated,F
lions,MIE,nw_fillers,unrelated,F
loans,FIKE,nw_fillers,unrelated,F
hoped,TIY,nw_fillers,unrelated,F
grows,TIX,nw_fillers,unrelated,F
wires,TID,nw_fillers,unrelated,F
typed,TOA,nw_fillers,unrelated,F
ruins,BLAG,nw_fillers,unrelated,F
blown,GON,nw_fillers,unrelated,F
paths,NOM,nw_fillers,unrelated,F
rolls,VOON,nw_fillers,unrelated,F
souls,SOOR,nw_fillers,unrelated,F
ruled,HOOS,nw_fillers,unrelated,F
bombs,NOOT,nw_fillers,unrelated,F
roles,NORE,nw_fillers,unrelated,F
wages,FORN,nw_fillers,unrelated,F
winds,FOSS,nw_fillers,unrelated,F
seeds,BUTH,nw_fillers,unrelated,F
locks,BOUG,nw_fillers,unrelated,F
roses,BUWL,nw_fillers,unrelated,F
burns,GOWS,nw_fillers,unrelated,F
parks,BOLY,nw_fillers,unrelated,F
jogger,BOUS,nw_fillers,unrelated,F
welded,PRAD,nw_fillers,unrelated,F
files,GRAE,nw_fillers,unrelated,F
spots,BREG,nw_fillers,unrelated,F
gladly,BRUN,nw_fillers,unrelated,F
drops,GRAT,nw_fillers,unrelated,F
pairs,BRAX,nw_fillers,unrelated,F
gains,CRED,nw_fillers,unrelated,F
smarter,PID,nw_fillers,unrelated,F
flavors,PIM,nw_fillers,unrelated,F
tracing,HIN,nw_fillers,unrelated,F
shifted,PIS,nw_fillers,unrelated,F
budgets,DIT,nw_fillers,unrelated,F
bothers,COE,nw_fillers,unrelated,F
vaguely,HOZ,nw_fillers,unrelated,F
repairs,HUP,nw_fillers,unrelated,F
chasing,VOT,nw_fillers,unrelated,F
banning,HUW,nw_fillers,unrelated,F
expired,VUB,nw_fillers,unrelated,F
exports,HUO,nw_fillers,unrelated,F
dreamed,CUG,nw_fillers,unrelated,F
notions,SUH,nw_fillers,unrelated,F
manners,HUR,nw_fillers,unrelated,F
hardest,DEAT,nw_fillers,unrelated,F
watches,VEEK,nw_fillers,unrelated,F
fencing,REET,nw_fillers,unrelated,F
crushed,DELD,nw_fillers,unrelated,F
debated,GAM,nw_fillers,unrelated,F
planted,PAS,nw_fillers,unrelated,F
shelves,GITRON,nw_fillers,unrelated,F
chills,GLAIMS,nw_fillers,unrelated,F
adaped,HULGING,nw_fillers,unrelated,F
dwarfs,SAWKER,nw_fillers,unrelated,F
beaches,VEN,nw_fillers,unrelated,F
packing,SER,nw_fillers,unrelated,F
sleeves,PAB,nw_fillers,unrelated,F
doubled,GUD,nw_fillers,unrelated,F
shining,LAZ,nw_fillers,unrelated,F
ignores,WAP,nw_fillers,unrelated,F
motives,LAR,nw_fillers,unrelated,F
cracked,CAX,nw_fillers,unrelated,F
seekers,LOY,nw_fillers,unrelated,F
happier,LER,nw_fillers,unrelated,F
stuffed,NEG,nw_fillers,unrelated,F
dragged,SEI,nw_fillers,unrelated,F
washing,LEU,nw_fillers,unrelated,F
guessed,RET,nw_fillers,unrelated,F
rounded,LOD,nw_fillers,unrelated,F
tempted,RIA,nw_fillers,unrelated,F
careers,GIP,nw_fillers,unrelated,F
luckily,LIR,nw_fillers,unrelated,F
lengths,MIB,nw_fillers,unrelated,F
bounded,DOB,nw_fillers,unrelated,F
bounced,ROG,nw_fillers,unrelated,F
heating,ROP,nw_fillers,unrelated,F
flowing,LUT,nw_fillers,unrelated,F
trainer,LAU,nw_fillers,unrelated,F
crusher,LOR,nw_fillers,unrelated,F
phrases,KUG,nw_fillers,unrelated,F
forests,FET,nw_fillers,unrelated,F
ribbons,NEP,nw_fillers,unrelated,F
morally,NEB,nw_fillers,unrelated,F
annoyed,RIL,nw_fillers,unrelated,F
scanned,MIP,nw_fillers,unrelated,F
pockets,BIX,nw_fillers,unrelated,F
lurking,TOD,nw_fillers,unrelated,F
hacking,HOR,nw_fillers,unrelated,F
staped,FOT,nw_fillers,unrelated,F
streams,NOF,nw_fillers,unrelated,F
witches,ZAW,nw_fillers,unrelated,F
plugged,WUB,nw_fillers,unrelated,F
wounded,NEN,nw_fillers,unrelated,F
builder,FUT,nw_fillers,unrelated,F
spoiler,WAT,nw_fillers,unrelated,F
crowded,PUY,nw_fillers,unrelated,F
matched,BYM,nw_fillers,unrelated,F
finest,BYP,nw_fillers,unrelated,F
rising,SID,nw_fillers,unrelated,F
walker,HAJ,nw_fillers,unrelated,F
shares,RAL,nw_fillers,unrelated,F
awards,FAW,nw_fillers,unrelated,F
duties,DUP,nw_fillers,unrelated,F
solved,JAT,nw_fillers,unrelated,F
swords,COM,nw_fillers,unrelated,F
lowest,TAY,nw_fillers,unrelated,F
stocks,LEM,nw_fillers,unrelated,F
sealed,CUN,nw_fillers,unrelated,F
aliens,BRY,nw_fillers,unrelated,F
wheels,HEZ,nw_fillers,unrelated,F
houses,BEX,nw_fillers,unrelated,F
winner,HEB,nw_fillers,unrelated,F
mailed,MOX,nw_fillers,unrelated,F
boring,LIG,nw_fillers,unrelated,F
shooter,QUOTU,nw_fillers,unrelated,F
joker,DIALENG,nw_fillers,unrelated,F
beers,LESPIRE,nw_fillers,unrelated,F
forming,ERASTIC,nw_fillers,unrelated,F
refugee,BOLLY,nw_fillers,unrelated,F
pagans,SEWIGE,nw_fillers,unrelated,F
remarks,SLINCH,nw_fillers,unrelated,F
anyhow,DESSELS,nw_fillers,unrelated,F
beeps,PROLING,nw_fillers,unrelated,F
pumps,LENSE,nw_fillers,unrelated,F
metals,SASTEN,nw_fillers,unrelated,F
twisted,GEANING,nw_fillers,unrelated,F
grossly,VOPS,nw_fillers,unrelated,F
boats,DECYCLE,nw_fillers,unrelated,F
taller,BAMP,nw_fillers,unrelated,F
goats,RATTOIL,nw_fillers,unrelated,F
novices,CETUP,nw_fillers,unrelated,F
bikes,RAGMAG,nw_fillers,unrelated,F
vastly,PINGE,nw_fillers,unrelated,F
brewery,FAUL,nw_fillers,unrelated,F
builds,CID,nw_fillers,unrelated,F
hires,LATADOR,nw_fillers,unrelated,F
farther,LANJO,nw_fillers,unrelated,F
consist,MULK,nw_fillers,unrelated,F
poetic,FORKY,nw_fillers,unrelated,F
casting,TIRANHA,nw_fillers,unrelated,F
bounds,YONE,nw_fillers,unrelated,F
flashes,DRIEK,nw_fillers,unrelated,F
moody,DEEFER,nw_fillers,unrelated,F
punches,GODGED,nw_fillers,unrelated,F
runner,INDUCAS,nw_fillers,unrelated,F
corpses,THARKS,nw_fillers,unrelated,F
poets,HILKY,nw_fillers,unrelated,F
drums,DAWDLA,nw_fillers,unrelated,F
agony,FRINT,nw_fillers,unrelated,F
glacial,PLICKED,nw_fillers,unrelated,F
handful,TARD,nw_fillers,unrelated,F
sliced,SELOUSE,nw_fillers,unrelated,F
draws,AUFIBLY,nw_fillers,unrelated,F
gourmet,DRILTED,nw_fillers,unrelated,F
probing,SETBICK,nw_fillers,unrelated,F
bashing,SATES,nw_fillers,unrelated,F
lesser,CABITS,nw_fillers,unrelated,F
cruelty,RILLED,nw_fillers,unrelated,F
attain,BETTLED,nw_fillers,unrelated,F
zipper,MASHEL,nw_fillers,unrelated,F
fungal,DUSH,nw_fillers,unrelated,F
notable,PULE,nw_fillers,unrelated,F
studios,BUTHE,nw_fillers,unrelated,F
impacts,IGNEOUL,nw_fillers,unrelated,F
motors,RASSING,nw_fillers,unrelated,F
whoops,KOLES,nw_fillers,unrelated,F
aliases,EANIEST,nw_fillers,unrelated,F
mummy,CETALS,nw_fillers,unrelated,F
coolest,ALUTELY,nw_fillers,unrelated,F
relying,GIBEL,nw_fillers,unrelated,F
sticks,TRUCKEB,nw_fillers,unrelated,F
mothers,PONSUL,nw_fillers,unrelated,F
mills,GARMUNT,nw_fillers,unrelated,F
handler,FRAND,nw_fillers,unrelated,F
passion,TROTH,nw_fillers,unrelated,F
painter,WORSA,nw_fillers,unrelated,F
eagerly,CHAPILS,nw_fillers,unrelated,F
rites,SCHILLS,nw_fillers,unrelated,F
