prime,target,condition,primetype,corrAns,list
clusher,CLUST,pseudo-orthographic,related,f,4a
thunper,THUND,pseudo-orthographic,related,f,4a
sewment,SEG,pseudo-orthographic,related,f,4a
anorfer,ANOTH,pseudo-orthographic,related,f,4a
winper,WINT,pseudo-orthographic,related,f,4a
neisker,NEITH,pseudo-orthographic,related,f,4a
slith,SLITH,pseudo-identity,related,f,4a
sput,SPUT,pseudo-identity,related,f,4a
blust,BLUST,pseudo-identity,related,f,4a
flound,FLOUND,pseudo-identity,related,f,4a
coron,CORON,pseudo-identity,related,f,4a
calip,CALIP,pseudo-identity,related,f,4a
stut,STUT,pseudo-identity,related,f,4a
flut,FLUT,pseudo-identity,related,f,4a
slumb,SLUMB,pseudo-identity,related,f,4a
stag,STAG,pseudo-identity,related,f,4a
fid,FID,pseudo-identity,related,f,4a
ciph,CIPH,pseudo-identity,related,f,4a
clob,CLOB,pseudo-identity,related,f,4a
cov,COV,pseudo-identity,related,f,4a
fash,FASH,pseudo-identity,related,f,4a
wor,WOR,pseudo-identity,related,f,4a
cors,CORS,pseudo-identity,related,f,4a
blist,BLIST,pseudo-identity,related,f,4a
pheas,PHEAS,pseudo-identity,related,f,4a
cust,CUST,pseudo-identity,related,f,4a
acquatic,WHIMP,pseudo-unrelated,unrelated,f,4a
portal,HOLST,pseudo-unrelated,unrelated,f,4a
sharpen,BOLST,pseudo-unrelated,unrelated,f,4a
careless,BLUND,pseudo-unrelated,unrelated,f,4a
despotic,PLAST,pseudo-unrelated,unrelated,f,4a
bitten,BICK,pseudo-unrelated,unrelated,f,4a
cursory,LOBST,pseudo-unrelated,unrelated,f,4a
marital,GLIT,pseudo-unrelated,unrelated,f,4a
exertion,ALABAST,pseudo-unrelated,unrelated,f,4a
fearful,MONST,pseudo-unrelated,unrelated,f,4a
trooper,CLUT,pseudo-unrelated,unrelated,f,4a
maternal,PLUND,pseudo-unrelated,unrelated,f,4a
blissful,SLAND,pseudo-unrelated,unrelated,f,4a
erasure,ORCH,pseudo-unrelated,unrelated,f,4a
slayer,NOUR,pseudo-unrelated,unrelated,f,4a
purify,VANT,pseudo-unrelated,unrelated,f,4a
tweeter,ACRYL,pseudo-unrelated,unrelated,f,4a
hasten,PENCH,pseudo-unrelated,unrelated,f,4a
watcher,CLIM,pseudo-unrelated,unrelated,f,4a
looser,PROST,pseudo-unrelated,unrelated,f,4a
elusive,SART,pseudo-filler,unrelated,f,4a
dearly,SLOOM,pseudo-filler,unrelated,f,4a
pricey,CHRUG,pseudo-filler,unrelated,f,4a
squeaky,MEST,pseudo-filler,unrelated,f,4a
dreadful,LONUS,pseudo-filler,unrelated,f,4a
scenic,CRASP,pseudo-filler,unrelated,f,4a
moisture,FENT,pseudo-filler,unrelated,f,4a
pastoral,SOLK,pseudo-filler,unrelated,f,4a
penalize,SLEPS,pseudo-filler,unrelated,f,4a
shortage,SLUS,pseudo-filler,unrelated,f,4a
purist,FLOB,pseudo-filler,unrelated,f,4a
tenderly,DURP,pseudo-filler,unrelated,f,4a
populate,ZOT,pseudo-filler,unrelated,f,4a
urinate,PHIM,pseudo-filler,unrelated,f,4a
divorced,AIF,pseudo-filler,unrelated,f,4a
headache,PIRM,pseudo-filler,unrelated,f,4a
nameless,DRAID,pseudo-filler,unrelated,f,4a
attacker,PARN,pseudo-filler,unrelated,f,4a
mindless,FENCH,pseudo-filler,unrelated,f,4a
wildly,RULL,pseudo-filler,unrelated,f,4a
