priime,target,condition,primetype,corrAns,list
watery,ADVISER,word-opaque,unrelated,j,3b
muddy,ADMIRER,word-opaque,unrelated,j,3b
slightly,BUZZER,word-opaque,unrelated,j,3b
happily,COOKER,word-opaque,unrelated,j,3b
stainless,ERASER,word-opaque,unrelated,j,3b
senseless,GAMBLER,word-opaque,unrelated,j,3b
thinly,GOLFER,word-opaque,unrelated,j,3b
potter,JOGGER,word-opaque,related,j,3b
badger,LENDER,word-opaque,related,j,3b
bother,MARKER,word-opaque,related,j,3b
brother,OFFENDER,word-opaque,related,j,3b
corner,RAIDER,word-opaque,related,j,3b
center,REAPER,word-opaque,related,j,3b
million,ATTRACTION,word-opaque,related,j,3b
rubbish,SLUGGISH,word-opaque,related,j,3b
mustard,DRUNKARD,word-opaque,related,j,3b
figment,MOVEMENT,word-opaque,related,j,3b
cattle,BLAME,word-semantic,unrelated,j,3b
grass,BOW,word-semantic,unrelated,j,3b
sincere,HELIUM,word-semantic,unrelated,j,3b
scrabble,BEARD,word-semantic,unrelated,j,3b
clause,CRAZY,word-semantic,unrelated,j,3b
bargain,QUILT,word-semantic,unrelated,j,3b
despair,LEND,word-semantic,unrelated,j,3b
vaccine,DISC,word-semantic,unrelated,j,3b
profile,TICKET,word-semantic,unrelated,j,3b
purge,VOTE,word-semantic,unrelated,j,3b
guilt,SHAME,word-semantic,related,j,3b
journey,QUEST,word-semantic,related,j,3b
muscle,FLEX,word-semantic,related,j,3b
narrow,WIDE,word-semantic,related,j,3b
poetry,PROSE,word-semantic,related,j,3b
scratch,ITCH,word-semantic,related,j,3b
succeed,EXCEL,word-semantic,related,j,3b
swallow,GULP,word-semantic,related,j,3b
twelve,DOZEN,word-semantic,related,j,3b
workout,GYM,word-semantic,related,j,3b
harpist,WASHABLE,word-pseudopaque,unrelated,j,3b
ladybug,DRIVER,word-pseudopaque,unrelated,j,3b
energize,DILUTION,word-pseudopaque,unrelated,j,3b
vastness,GRINDER,word-pseudopaque,unrelated,j,3b
ageless,HITTER,word-pseudopaque,unrelated,j,3b
muscled,SNOBBISH,word-pseudopaque,unrelated,j,3b
cleanly,CYCLIC,word-pseudopaque,unrelated,j,3b
sweetly,TRIBAL,word-pseudopaque,unrelated,j,3b
cheaply,STYLISH,word-pseudopaque,unrelated,j,3b
doorway,LOCKER,word-pseudopaque,unrelated,j,3b
whisper,MAILER,word-pseudopaque,related,j,3b
shudder,MIXER,word-pseudopaque,related,j,3b
slender,OFFICER,word-pseudopaque,related,j,3b
caliber,PEELER,word-pseudopaque,related,j,3b
panther,PLAYER,word-pseudopaque,related,j,3b
augment,PAVEMENT,word-pseudopaque,related,j,3b
sinister,POINTER,word-pseudopaque,related,j,3b
shelter,SETTLER,word-pseudopaque,related,j,3b
boulder,SCORER,word-pseudopaque,related,j,3b
village,SHORTAGE,word-pseudopaque,related,j,3b
whimper,WHIMP,pseudo-transparent,related,f,3b
holster,HOLST,pseudo-transparent,related,f,3b
bolster,BOLST,pseudo-transparent,related,f,3b
blunder,BLUND,pseudo-transparent,related,f,3b
plaster,PLAST,pseudo-transparent,related,f,3b
bicker,BICK,pseudo-transparent,related,f,3b
lobster,LOBST,pseudo-transparent,related,f,3b
glitter,GLIT,pseudo-transparent,related,f,3b
alabaster,ALABAST,pseudo-transparent,related,f,3b
monster,MONST,pseudo-transparent,related,f,3b
clutter,CLUT,pseudo-transparent,related,f,3b
plunder,PLUND,pseudo-transparent,related,f,3b
slander,SLAND,pseudo-transparent,related,f,3b
orchard,ORCH,pseudo-transparent,related,f,3b
nourish,NOUR,pseudo-transparent,related,f,3b
vantage,VANT,pseudo-transparent,related,f,3b
acrylic,ACRYL,pseudo-transparent,related,f,3b
penchant,PENCH,pseudo-transparent,related,f,3b
climate,CLIM,pseudo-transparent,related,f,3b
prostate,PROST,pseudo-transparent,related,f,3b
appable,AFF,pseudo-orthographic,related,f,3b
blukker,BLUB,pseudo-orthographic,related,f,3b
scannion,SCALL,pseudo-orthographic,related,f,3b
squammer,SQUAND,pseudo-orthographic,related,f,3b
smopher,SMOTH,pseudo-orthographic,related,f,3b
garpish,GARN,pseudo-orthographic,related,f,3b
frammic,FRANT,pseudo-orthographic,related,f,3b
adregal,ADREN,pseudo-orthographic,related,f,3b
abopish,ABOL,pseudo-orthographic,related,f,3b
prosker,PROSP,pseudo-orthographic,related,f,3b
whisler,WHISP,pseudo-orthographic,related,f,3b
shuller,SHUD,pseudo-orthographic,related,f,3b
slemper,SLEND,pseudo-orthographic,related,f,3b
caliner,CALIB,pseudo-orthographic,related,f,3b
panster,PANTH,pseudo-orthographic,related,f,3b
aupment,AUG,pseudo-orthographic,related,f,3b
sinither,SINIST,pseudo-orthographic,related,f,3b
shelger,SHELT,pseudo-orthographic,related,f,3b
boulger,BOULD,pseudo-orthographic,related,f,3b
vimmage,VILL,pseudo-orthographic,related,f,3b
smould,SMOULD,pseudo-identity,related,f,3b
flust,FLUST,pseudo-identity,related,f,3b
clat,CLAT,pseudo-identity,related,f,3b
stam,STAM,pseudo-identity,related,f,3b
coland,COLAND,pseudo-identity,related,f,3b
ang,ANG,pseudo-identity,related,f,3b
blath,BLATH,pseudo-identity,related,f,3b
whith,WHITH,pseudo-identity,related,f,3b
laund,LAUND,pseudo-identity,related,f,3b
cloist,CLOIST,pseudo-identity,related,f,3b
fiss,FISS,pseudo-identity,related,f,3b
advant,ADVANT,pseudo-identity,related,f,3b
scand,SCAND,pseudo-identity,related,f,3b
eleph,ELEPH,pseudo-identity,related,f,3b
clust,CLUST,pseudo-identity,related,f,3b
thund,THUND,pseudo-identity,related,f,3b
seg,SEG,pseudo-identity,related,f,3b
anoth,ANOTH,pseudo-identity,related,f,3b
wint,WINT,pseudo-identity,related,f,3b
neith,NEITH,pseudo-identity,related,f,3b
acquatic,SLITH,pseudo-unrelated,unrelated,f,3b
portal,SPUT,pseudo-unrelated,unrelated,f,3b
sharpen,BLUST,pseudo-unrelated,unrelated,f,3b
careless,FLOUND,pseudo-unrelated,unrelated,f,3b
despotic,CORON,pseudo-unrelated,unrelated,f,3b
bitten,CALIP,pseudo-unrelated,unrelated,f,3b
cursory,STUT,pseudo-unrelated,unrelated,f,3b
marital,FLUT,pseudo-unrelated,unrelated,f,3b
exertion,SLUMB,pseudo-unrelated,unrelated,f,3b
fearful,STAG,pseudo-unrelated,unrelated,f,3b
trooper,FID,pseudo-unrelated,unrelated,f,3b
maternal,CIPH,pseudo-unrelated,unrelated,f,3b
blissful,CLOB,pseudo-unrelated,unrelated,f,3b
erasure,COV,pseudo-unrelated,unrelated,f,3b
slayer,FASH,pseudo-unrelated,unrelated,f,3b
purify,WOR,pseudo-unrelated,unrelated,f,3b
tweeter,CORS,pseudo-unrelated,unrelated,f,3b
hasten,BLIST,pseudo-unrelated,unrelated,f,3b
watcher,PHEAS,pseudo-unrelated,unrelated,f,3b
looser,CUST,pseudo-unrelated,unrelated,f,3b
elusive,SART,pseudo-filler,unrelated,f,3b
dearly,SLOOM,pseudo-filler,unrelated,f,3b
pricey,CHRUG,pseudo-filler,unrelated,f,3b
squeaky,MEST,pseudo-filler,unrelated,f,3b
dreadful,LONUS,pseudo-filler,unrelated,f,3b
scenic,CRASP,pseudo-filler,unrelated,f,3b
moisture,FENT,pseudo-filler,unrelated,f,3b
pastoral,SOLK,pseudo-filler,unrelated,f,3b
penalize,SLEPS,pseudo-filler,unrelated,f,3b
shortage,SLUS,pseudo-filler,unrelated,f,3b
purist,FLOB,pseudo-filler,unrelated,f,3b
tenderly,DURP,pseudo-filler,unrelated,f,3b
populate,ZOT,pseudo-filler,unrelated,f,3b
urinate,PHIM,pseudo-filler,unrelated,f,3b
divorced,AIF,pseudo-filler,unrelated,f,3b
headache,PIRM,pseudo-filler,unrelated,f,3b
nameless,DRAID,pseudo-filler,unrelated,f,3b
attacker,PARN,pseudo-filler,unrelated,f,3b
mindless,FENCH,pseudo-filler,unrelated,f,3b
wildly,RULL,pseudo-filler,unrelated,f,3b
